R	53.4032	-6.14839	E230	06 Mar 2025	E230\n13:04 - Malahide to Bray (0 mins late)\nArrived Clongriffin next stop Howth Junction	Southbound
R	53.4855	-6.15134	A114	06 Mar 2025	A114\n12:50 - Dublin Connolly to Belfast (0 mins late)\nDeparted Donabate next stop Drogheda	Northbound
R	53.5201	-6.1439	P708	06 Mar 2025	P708\n12:43 - Drogheda to Dublin Connolly (-1 mins late)\nArrived Rush and Lusk next stop Donabate	Southbound
R	53.523	-7.34608	A907	06 Mar 2025	A907\n11:05 - Sligo to Dublin Connolly (5 mins late)\nDeparted Mullingar next stop Enfield	Southbound
R	53.6118	-6.18226	D815	06 Mar 2025	D815\n12:19 - Grand Canal Dock to Drogheda (2 mins late)\nDeparted Balbriggan next stop Gormanston	To Drogheda
R	53.712	-6.33538	P611	06 Mar 2025	P611\n12:40 - Dundalk to Grand Canal Dock (3 mins late)\nDeparted Drogheda next stop Laytown	To Grand Canal Dock
R	53.8591	-7.9164	A904	06 Mar 2025	A904\n11:05 - Dublin Connolly to Sligo (4 mins late)\nDeparted Dromod next stop Carrick on Shannon	Northbound
R	54.0007	-6.41291	A110	06 Mar 2025	A110\n10:50 - Dublin Connolly to Belfast (6 mins late)\nDeparted Dundalk next stop Newry	Northbound
R	54.0007	-6.41291	A112	06 Mar 2025	A112\n11:50 - Dublin Connolly to Belfast (2 mins late)\nDeparted Dundalk next stop Newry	Northbound
R	54.0007	-6.41291	A113	06 Mar 2025	A113\n12:00 - Belfast to Dublin Connolly (-3 mins late)\nArrived Dundalk next stop Drogheda	Southbound
R	54.2723	-8.48249	A909	06 Mar 2025	A909\n13:05 - Sligo to Dublin Connolly (1 mins late)\nDeparted Sligo next stop Collooney	Southbound
T	53.3891	-6.07401	E921	06 Mar 2025	E921\n11:55 - Bray to Howth(-1 mins late)\nTERMINATED Howth at 13:06	Northbound
T	53.712	-6.33538	D814	06 Mar 2025	D814\n12:07 - Dublin Connolly to Drogheda(3 mins late)\nTERMINATED Drogheda at 13:09	Northbound
